material message,1.00E-11,1.13E-11,1.27E-11,1.44E-11,1.62E-11,1.83E-11,2.07E-11,2.33E-11,2.63E-11,2.97E-11,3.35E-11,3.79E-11,4.27E-11,4.82E-11,5.44E-11,6.14E-11,6.93E-11,7.82E-11,8.83E-11,9.96E-11,1.13E-10,1.27E-10,1.43E-10,1.62E-10,1.83E-10,2.06E-10,2.32E-10,2.62E-10,2.96E-10,3.34E-10,3.77E-10,4.26E-10,4.80E-10,5.42E-10,6.12E-10,6.91E-10,7.79E-10,8.80E-10,9.93E-10,1.12E-09,1.27E-09,1.43E-09,1.61E-09,1.82E-09,2.05E-09,2.32E-09,2.61E-09,2.95E-09,3.33E-09,3.76E-09,4.24E-09,4.79E-09,5.40E-09,6.10E-09,6.88E-09,7.77E-09,8.77E-09,9.89E-09,1.12E-08,1.26E-08,1.42E-08,1.61E-08,1.81E-08,2.05E-08,2.31E-08,2.60E-08,2.94E-08,3.32E-08,3.74E-08,4.23E-08,4.77E-08,5.38E-08,6.08E-08,6.86E-08,7.74E-08,8.73E-08,9.86E-08,1.11E-07,1.26E-07,1.42E-07,1.60E-07,1.81E-07,2.04E-07,2.30E-07,2.60E-07,2.93E-07,3.31E-07,3.73E-07,4.21E-07,4.75E-07,5.36E-07,6.05E-07,6.83E-07,7.71E-07,8.70E-07,9.82E-07,1.11E-06,1.25E-06,1.41E-06,1.59E-06,1.80E-06,2.03E-06,2.29E-06,2.59E-06,2.92E-06,3.29E-06,3.72E-06,4.20E-06,4.74E-06,5.34E-06,6.03E-06,6.81E-06,7.68E-06,8.67E-06,9.79E-06,1.11E-05,1.25E-05,1.41E-05,1.59E-05,1.79E-05,2.02E-05,2.28E-05,2.58E-05,2.91E-05,3.28E-05,3.70E-05,4.18E-05,4.72E-05,5.33E-05,6.01E-05,6.78E-05,7.66E-05,8.64E-05,9.75E-05,1.10E-04,1.24E-04,1.40E-04,1.58E-04,1.79E-04,2.02E-04,2.28E-04,2.57E-04,2.90E-04,3.27E-04,3.69E-04,4.17E-04,4.70E-04,5.31E-04,5.99E-04,6.76E-04,7.63E-04,8.61E-04,9.72E-04,1.10E-03,1.24E-03,1.40E-03,1.58E-03,1.78E-03,2.01E-03,2.27E-03,2.56E-03,2.89E-03,3.26E-03,3.68E-03,4.15E-03,4.69E-03,5.29E-03,5.97E-03,6.74E-03,7.60E-03,8.58E-03,9.68E-03,1.09E-02,1.23E-02,1.39E-02,1.57E-02,1.77E-02,2.00E-02,2.26E-02,2.55E-02,2.88E-02,3.25E-02,3.67E-02,4.14E-02,4.67E-02,5.27E-02,5.95E-02,6.71E-02,7.57E-02,8.55E-02,9.65E-02,1.09E-01,1.23E-01,1.39E-01,1.57E-01,1.77E-01,1.99E-01,2.25E-01,2.54E-01,2.87E-01,3.24E-01,3.65E-01,4.12E-01,4.65E-01,5.25E-01,5.93E-01,6.69E-01,7.55E-01,8.52E-01,9.61E-01,1.09E+00,1.22E+00,1.38E+00,1.56E+00,1.76E+00,1.99E+00,2.24E+00,2.53E+00,2.86E+00,3.22E+00,3.64E+00,4.11E+00,4.64E+00,5.23E+00,5.90E+00,6.66E+00,7.52E+00,8.49E+00,9.58E+00,1.08E+01,1.22E+01,1.38E+01,1.55E+01,1.75E+01,1.98E+01,2.23E+01,2.52E+01,2.85E+01,3.00E+01,Measured Activity (Bq),Activity Error (Bq)
Au-197,0,0.858114305,0.797026723,0.758887992,0.722574585,0.671538801,0.623733538,0.593886535,0.565469757,0.525529836,0.488117837,0.464762267,0.442524059,0.411268285,0.381991584,0.363713311,0.346309263,0.329740109,0.306451581,0.284636183,0.271016868,0.258050093,0.239825453,0.222753933,0.212095183,0.201947738,0.187686609,0.174327237,0.16598706,0.158046095,0.146885693,0.136431823,0.12990535,0.123691381,0.117774898,0.10945984,0.101671282,0.096808876,0.092179417,0.085673146,0.079578958,0.07577456,0.072152337,0.067061809,0.062293976,0.059317679,0.056483867,0.053786106,0.049995027,0.046444583,0.044228628,0.042119047,0.039155264,0.036379734,0.034647195,0.03299761,0.030679841,0.028509564,0.027155141,0.025866151,0.024055397,0.022360492,0.021303198,0.020297035,0.019339678,0.017911986,0.016815564,0.016027975,0.015278895,0.014227974,0.01324558,0.01263373,0.012052308,0.011237678,0.010442572,0.00993899,0.009462814,0.009013169,0.008588446,0.007999059,0.0074546,0.007119909,0.006805599,0.006510633,0.0062346,0.005976641,0.005624958,0.005307475,0.005106135,0.004923728,0.004760324,0.004616301,0.004492354,0.004389485,0.004309339,0.004254096,0.004225975,0.004241296,0.004329532,0.004490512,0.004729235,0.005149453,0.005698275,0.006498739,0.008187254,0.011182284,0.017355553,0.038585218,0.336867428,1.856174931,0.059295966,0.011365565,0.004289047,0.002109309,0.00113922,0.000687335,0.000448766,0.000296504,0.000205511,0.000152261,0.000117858,9.18E-05,7.41E-05,6.34E-05,5.68E-05,5.45E-05,5.93E-05,0.00089235,0.00015292,0.030282521,0.12377696,0.000177781,0.015198492,3.19E-05,0.007905452,0.000908265,2.76E-05,0.008537248,0.012482869,0.008315468,0.000286451,0.009674527,0.006446716,0.015600973,0.00796528,0.006123174,0.00639164,0.006179343,0.004651889,0.004681479,0.004252848,0.004359379,0.002088556,0.003249536,0.0022665,0.002097604,0.001745874,0.001515437,0.00108784,0.000623168,0.000569253,0.000524176,0.000501907,0.000464866,0.000431999,0.000405435,0.000361472,0.000335279,0.000317072,0.000295731,0.00025551,0.000217403,0.000199953,0.000191239,0.000178181,0.000163035,0.000148456,0.000133691,0.000121844,0.000114228,0.000109453,0.000104121,9.67E-05,9.01E-05,8.38E-05,7.91E-05,7.53E-05,7.10E-05,6.73E-05,6.14E-05,5.72E-05,5.80E-05,5.39E-05,5.07E-05,4.94E-05,4.83E-05,4.69E-05,4.53E-05,4.30E-05,4.05E-05,3.51E-05,3.29E-05,2.99E-05,2.68E-05,2.43E-05,2.14E-05,1.87E-05,1.71E-05,1.59E-05,1.52E-05,1.50E-05,1.38E-05,1.32E-05,1.27E-05,1.18E-05,1.00E-05,8.96E-06,6.76E-06,5.14E-06,4.19E-06,3.20E-06,2.41E-06,1.85E-06,1.32E-06,1.04E-06,6.70E-07,3.26E-07,1.59E-07,1.91E-07,2.71E-07,3.17E-07,2.94E-07,1.87E-07,7.84E-08,3.05E-08,1.31E-08,5.94E-09,3.13E-09,1.84E-09,33834.64,0
Fe-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92E-13,2.10E-12,7.13E-09,1.85E-07,1.52E-06,8.96E-06,3.16E-05,5.52E-05,7.93E-05,0.000103857,0.000131317,0.000164793,0.000196578,0.000190184,0.000143915,9.75E-05,6.89E-05,5.50E-05,4.73E-05,4.17E-05,14.77,0
Al-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98E-11,9.60E-10,3.10E-09,6.03E-09,7.01E-08,2.03E-06,1.71E-05,7.88E-05,0.000171326,0.000294632,0.000387542,0.000474224,0.000519794,0.000475312,0.000353491,0.000226338,0.000165802,0,0,0,34.92,0
Ni-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36E-08,5.24E-08,8.50E-08,1.22E-07,1.63E-07,2.01E-07,6.77E-07,1.13E-06,1.74E-06,2.78E-06,4.16E-06,4.98E-06,1.37E-05,1.79E-05,2.46E-05,3.49E-05,4.50E-05,5.13E-05,5.62E-05,6.47E-05,7.50E-05,7.82E-05,7.93E-05,7.94E-05,7.70E-05,7.13E-05,6.29E-05,4.07E-05,1.97E-05,1.25E-05,4.60E-06,0,0,0,20.78,0
Fe-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61E-11,1.75E-10,1.81E-09,7.08E-09,1.71E-08,3.97E-08,7.15E-08,1.49E-07,3.03E-07,8.18E-07,1.44E-06,3.04E-06,3.98E-06,5.52E-06,8.16E-06,1.04E-05,1.26E-05,1.44E-05,1.53E-05,1.56E-05,1.57E-05,1.58E-05,1.58E-05,1.53E-05,1.30E-05,9.13E-06,5.66E-06,3.62E-06,2.67E-06,1.98E-06,1.58E-06,1.32E-06,4.09,0
Cu-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55E-12,3.03E-12,4.83E-11,2.09E-10,4.63E-10,2.46E-09,1.04E-08,2.84E-08,6.35E-08,1.35E-07,3.19E-07,5.82E-07,7.57E-07,1.11E-06,1.34E-06,1.72E-06,1.89E-06,1.70E-06,1.04E-06,7.22E-07,2.40E-07,0,0,0,0.15,0
Ti-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91E-09,1.87E-08,1.17E-07,9.25E-07,3.80E-06,8.75E-06,1.85E-05,2.70E-05,3.98E-05,6.23E-05,7.31E-05,7.97E-05,7.21E-05,5.05E-05,3.95E-05,3.36E-05,2.98E-05,2.80E-05,4.36,0
Na-23,0,0.12474958,0.11586861,0.11032411,0.105045237,0.097625461,0.090675347,0.086336758,0.082205571,0.076399051,0.070960176,0.067564759,0.06433151,0.059787685,0.055531624,0.052874383,0.050344181,0.047935196,0.044549451,0.041377989,0.039398003,0.037512767,0.034863153,0.032381241,0.030831745,0.029356451,0.027282942,0.025340658,0.024128058,0.022973491,0.021350827,0.019830853,0.018881907,0.017978387,0.01711808,0.015908992,0.014776417,0.014069327,0.013396066,0.012449863,0.011563522,0.011010179,0.010483302,0.009742817,0.009049201,0.00861616,0.008203859,0.00781124,0.007259485,0.006742665,0.006420014,0.006112761,0.005680972,0.005276515,0.005024024,0.004783621,0.004445732,0.004129233,0.003931644,0.003743515,0.003479112,0.00323144,0.003076823,0.002929601,0.00278942,0.00258015,0.002419225,0.002303494,0.002193326,0.002038554,0.001893628,0.001803146,0.001716967,0.001595779,0.001482218,0.001411312,0.001343803,0.001248884,0.001159966,0.001104478,0.001051627,0.00097734,0.000907778,0.00086432,0.000822951,0.000783636,0.000728304,0.000676475,0.000644104,0.000613302,0.000570022,0.000529389,0.000504063,0.00047834,0.000444479,0.000412875,0.000393175,0.000374427,0.000356606,0.000330469,0.000307074,0.00029248,0.000278566,0.000258959,0.00023988,0.00022839,0.000218321,0.000203349,0.000189263,0.000180236,0.000172363,0.000161015,0.000148861,0.000141752,0.000134083,0.00012775,0.000119018,0.000111218,0.000105707,0.000100803,9.55E-05,8.91E-05,8.34E-05,7.96E-05,7.56E-05,7.21E-05,6.66E-05,6.15E-05,5.89E-05,5.64E-05,5.40E-05,5.05E-05,4.72E-05,4.48E-05,4.33E-05,4.06E-05,3.84E-05,3.67E-05,3.54E-05,3.36E-05,3.24E-05,3.17E-05,3.05E-05,2.92E-05,2.81E-05,2.74E-05,2.71E-05,2.67E-05,2.66E-05,2.70E-05,2.76E-05,2.83E-05,2.98E-05,3.16E-05,3.47E-05,4.04E-05,4.72E-05,5.96E-05,8.64E-05,0.000151887,0.000378054,0.001387582,0.000590593,0.00012857,4.37E-05,1.96E-05,9.74E-06,5.58E-06,3.36E-06,3.34E-06,0.000148735,8.88E-07,6.25E-07,4.49E-07,3.20E-07,2.30E-07,1.78E-07,1.44E-07,1.22E-07,1.06E-07,1.00E-07,1.11E-07,0.000656302,1.94E-07,4.52E-07,1.16E-05,3.29E-05,4.62E-07,1.51E-07,8.88E-08,6.78E-08,6.70E-08,0.000312375,8.58E-08,0.000131985,1.80E-07,0.000113581,6.49E-06,6.69E-05,2.70E-07,5.42E-05,4.52E-07,3.19E-06,3.34E-06,8.39E-07,1.54E-06,1.68E-06,1.57E-06,1.34E-06,1.15E-06,1.10E-06,1.07E-06,1.03E-06,9.99E-07,9.66E-07,9.43E-07,9.13E-07,8.90E-07,8.61E-07,8.33E-07,8.06E-07,7.78E-07,7.70E-07,7.77E-07,7.86E-07,7.97E-07,8.07E-07,8.23E-07,8.33E-07,8.52E-07,8.74E-07,9.49E-07,1.07E-06,1.13E-06,1.16E-06,1.18E-06,0,0,0,700.22,0
Co-59,0,0.001676627,0.001557269,0.001482748,0.001411802,0.001312083,0.001218677,0.001160358,0.001104833,0.001026802,0.000953706,0.000908067,0.000864616,0.000803546,0.000746342,0.000710629,0.000676625,0.000644248,0.000598744,0.000556119,0.000529509,0.000504172,0.000468561,0.000435205,0.000414379,0.000394551,0.000366683,0.000340579,0.000324283,0.000308766,0.000286957,0.000266529,0.000253775,0.000241632,0.00023007,0.00021382,0.000198599,0.000189095,0.000180047,0.00016733,0.000155419,0.000147982,0.000140901,0.00013095,0.000121628,0.000115808,0.000110266,0.000104991,9.76E-05,9.06E-05,8.63E-05,8.22E-05,7.64E-05,7.09E-05,6.75E-05,6.43E-05,5.98E-05,5.55E-05,5.29E-05,5.03E-05,4.68E-05,4.34E-05,4.14E-05,3.94E-05,3.75E-05,3.47E-05,3.25E-05,3.10E-05,2.95E-05,2.74E-05,2.55E-05,2.42E-05,2.31E-05,2.15E-05,1.99E-05,1.90E-05,1.81E-05,1.68E-05,1.56E-05,1.49E-05,1.42E-05,1.32E-05,1.22E-05,1.16E-05,1.11E-05,1.06E-05,9.82E-06,9.13E-06,8.69E-06,8.28E-06,7.70E-06,7.16E-06,6.82E-06,6.50E-06,6.05E-06,5.63E-06,5.37E-06,5.12E-06,4.76E-06,4.44E-06,4.23E-06,4.04E-06,3.85E-06,3.60E-06,3.34E-06,3.19E-06,3.04E-06,2.89E-06,2.76E-06,2.57E-06,2.40E-06,2.30E-06,2.20E-06,2.11E-06,2.03E-06,1.95E-06,1.84E-06,1.75E-06,1.69E-06,1.64E-06,1.60E-06,1.56E-06,1.53E-06,1.52E-06,1.51E-06,1.53E-06,1.57E-06,1.63E-06,1.75E-06,1.92E-06,2.18E-06,2.65E-06,3.41E-06,5.08E-06,1.02E-05,4.41E-05,0.000353687,3.31E-05,5.08E-06,1.83E-06,8.70E-07,4.72E-07,2.99E-07,1.93E-07,1.38E-07,1.02E-07,7.99E-08,6.39E-08,5.29E-08,4.56E-08,3.94E-08,3.48E-08,3.08E-08,2.77E-08,2.56E-08,5.26E-07,2.42E-08,2.05E-08,1.96E-08,2.23E-08,5.86E-07,2.42E-06,2.68E-08,3.56E-08,1.25E-06,5.78E-07,3.71E-07,1.15E-07,1.60E-06,1.19E-08,2.51E-07,4.53E-07,1.00E-06,2.59E-07,3.52E-07,1.82E-07,6.40E-08,2.22E-07,1.67E-07,4.73E-08,1.90E-07,1.25E-07,1.11E-07,6.77E-08,6.22E-08,5.10E-08,5.93E-08,5.25E-08,5.31E-08,5.39E-08,5.45E-08,4.89E-08,1.53E-08,1.44E-08,1.30E-08,1.22E-08,1.12E-08,1.06E-08,9.17E-09,8.78E-09,8.21E-09,7.54E-09,7.03E-09,6.68E-09,6.41E-09,6.21E-09,6.06E-09,5.84E-09,5.74E-09,5.71E-09,5.74E-09,5.64E-09,4.75E-09,3.96E-09,3.42E-09,2.84E-09,2.50E-09,2.05E-09,1.64E-09,1.24E-09,8.51E-10,6.56E-10,5.66E-10,5.42E-10,5.34E-10,5.42E-10,5.77E-10,6.27E-10,7.02E-10,8.05E-10,9.15E-10,1.02E-09,1.04E-09,7.58E-10,4.88E-10,3.63E-10,0,0,0,10.49,0
S-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77E-11,6.53E-11,1.69E-09,3.39E-08,5.08E-07,1.82E-06,8.66E-06,1.91E-05,2.13E-05,3.28E-05,4.40E-05,4.81E-05,7.41E-05,5.70E-05,6.38E-05,7.40E-05,7.46E-05,7.61E-05,7.84E-05,8.65E-05,8.67E-05,7.09E-05,4.71E-05,3.21E-05,2.13E-05,1.72E-05,0,0,0,22.59,0
